{adid},{idfa},{android_id},{idfv},{gps_adid},{tracker_name},{is_organic},{created_at},{network_name},{campaign_name},{adgroup_name},{creative_name},{revenue_usd},{uninstalled_at},{last_session_time}
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692834,SC RE,VIP_Baloot_I_M_RE,,,,,
615dc470c1c18f08a5b9143903495296,C703BE04-887D-40A9-A0B5-31189F86C80D,,06A8DA43-F30D-4164-9BC5-C51CC0954864,,Organic,1,1600692804,Organic,,,,,,1600672750
00229498a5e380318ef6c9548b2605e9,4F2D1AF9-4F91-4F72-8891-8CD8FEE7CB2C,,A37CD952-44AE-4336-BA50-50F0DABF0B04,,Organic,1,1600692803,Organic,,,,,,1600645186
3a59bd44d99abec570d50b3e38d74495,96DE252A-0216-45E4-9621-4D9D40B82AC8,,70C28E47-50CE-4217-B743-AECD70AE1235,,Organic,1,1600692805,Organic,,,,,,1600633046
25888c701f7dd74867ccd591af04f5d3,,,,49b12f7e-7b57-49a3-a350-29d2044cd512,Organic,1,1600692803,Organic,,,,,,1600646088
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692836,SC RE,VIP_Baloot_I_M_RE,,,,,
433f658eff60c369575ff853e9a23b29,6D8C28C3-977B-466F-B966-A213BE11BBFD,,82964121-6D48-47B8-B74A-1D774E54C549,,Organic,1,1600692806,Organic,,,,,,1600638582
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692836,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692836,SC RE,VIP_Baloot_I_M_RE,,,,,
0b5d710f12734dbb5c42dd68604e370d,,,2B7B4659-DC4E-450D-94F5-667730C81C25,,Organic,1,1600692807,Organic,,,,,,1600659338
5d3836b147af8b7455fd4cd6c6028e39,,,,262d708e-9c14-456c-86cf-999f44f0a0d2,Organic,1,1600692806,Organic,,,,,,1600675656
4480e3aa179a2d75bb443544f47544fb,23E8D9AE-4AB8-4DF6-8170-FCFB2F34EDA1,,E5299C20-B8AC-4E8C-AC92-AA655EA3C221,,Organic,1,1600692806,Organic,,,,,,1600681420
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692836,SC RE,VIP_Baloot_I_M_RE,,,,,
51331110513df86ad96621d79d5f4f41,F9705429-F3EF-4950-BDEB-D79AEE3A4197,,7C561E45-E6DA-4154-AF7C-BD55FE893B9B,,Organic,1,1600692807,Organic,,,,,,1600633128
4a6f66b4f1b8e9c395618caddcfbd3f7,2AF6EC9C-202C-473E-BE0B-AB5AC7C8A424,,1608F7D7-3AB3-4770-A8C1-12A2BC6B8BDC,,Organic,1,1600692808,Organic,,,,,,1600679909
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692837,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692839,SC RE,VIP_Baloot_I_M_RE,,,,,
8740ee4aa0349139399939c89fdbe7ab,4FCE5137-4842-488E-8930-039CF1C8D40B,,D0726334-1EBC-479D-8006-E3425C461EB5,,Organic,1,1600692809,Organic,,,,,,1600688150
8f81e38e554815594a6352c7840d57d6,,,,4c03a69b-66e7-4f83-a403-3bac484efb86,Snapchat Installs::Expired Attributions,0,1600692810,Snapchat Installs,Expired Attributions,,,,,1600686246
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692841,SC RE,VIP_Baloot_I_M_RE,,,,,
57ecb1568f07928b1cee8b89ae02c08f,3E282B46-4337-45FF-85CE-ECC41A6C6EB5,,CD7F9FA2-117D-4864-8043-F5201AB5B002,,Organic,1,1600692812,Organic,,,,,,1600459046
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692842,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
8e33307782fdc6838dca2f49a483cccc,694FE7A1-AE86-4001-9E79-5DD24EE0EDCC,,C965FDE1-FCF7-4511-9597-80C79E962830,,Organic,1,1600692813,Organic,,,,,,1600621046
87707da289ed9a6e329a0ed09ec01324,,,,5e68fcde-0d03-44bd-9e71-c0e39281e070,Organic,1,1600692813,Organic,,,,,,1600689831
e0056e29d9e0aeeb0cad4cfabe85896c,,,,3fa954b2-fdd6-44ae-ac4d-8dfbbfe57369,Snapchat Installs::VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798)::Ziyad - Android (d5d63240-a732-4870-8cfc-12c7cb5451a4)::Ziyad - Android (e4bccbfe-a064-4008-b1d1-585c4fca2aee),0,1600692812,Snapchat Installs,VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798),Ziyad - Android (d5d63240-a732-4870-8cfc-12c7cb5451a4),Ziyad - Android (e4bccbfe-a064-4008-b1d1-585c4fca2aee),,,1564434049
8e33307782fdc6838dca2f49a483cccc,694FE7A1-AE86-4001-9E79-5DD24EE0EDCC,,C965FDE1-FCF7-4511-9597-80C79E962830,,Organic,1,1600621046,Organic,,,,,,1600269343
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692843,SC RE,VIP_Baloot_I_M_RE,,,,,
563ecac06b00128ef7285bfe0eecbf25,,,C50F77CE-5E63-4430-8156-5B3A2348CC6F,,Organic,1,1600692815,Organic,,,,,,1600688392
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692844,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692845,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
cfff13490f6370a405a6a14234cdf35d,DE3D0321-179F-4116-BD34-B7504810E19A,,A1BB90DA-3C4F-4ABF-9777-8463FAD7EE0F,,Snapchat Installs::Expired Attributions,0,1600692816,Snapchat Installs,Expired Attributions,,,,,1600681006
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692844,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692847,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
b92ee0992b7431b1a8d451a215e69f12,,,,fecc8cf2-edbf-4301-9533-07d555adba4a,Organic,1,1600692816,Organic,,,,,,1600596425
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692842,SC RE,VIP_Baloot_I_M_RE,,,,,
e24ba2d1e0d0b35c5851f81dd3838880,,,,324620c7-b3ec-4bb0-b5a9-deee74ac9a66,Organic,1,1600692816,Organic,,,,5.329316573134806,,1600692715
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692846,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692848,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692847,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
33becfb0e54a0b72898d3cdda388c0f1,,,,5db9bf1c-35a9-4161-bcc5-70f1d3b00ca7,Organic,1,1600692817,Organic,,,,,,1600662237
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692843,SC RE,VIP_Baloot_I_M_RE,,,,,
8b92b0653cb1ee3895c63a0f0348141a,51BE5CD0-44B7-4264-9589-B5DE40952A2D,,1973148D-E3FA-44C6-BAC4-8F474488A6B1,,Organic,1,1600692817,Organic,,,,,,1600635198
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692849,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692841,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692849,SC RE,VIP_Baloot_I_M_RE,,,,,
b7f6cec77518c614f04e1868dead31f6,,,,2fafaafe-c6db-4dd9-8266-25748a43989f,Organic,1,1600692818,Organic,,,,,,1600677991
00e132813e778818201f5dbcfb31090c,9BC4D620-7CD6-40E9-80FA-6D31AA792E56,,03EC6215-151C-4EBF-86D0-EE8CDD90DE90,,Apple Search Ads::VIP Baloot_I_Both_GCC_RT (445351422)::1399_GCCXX_XX_RU (445455484)::بلوت رويال (445458376),0,1600692819,Apple Search Ads,VIP Baloot_I_Both_GCC_RT (445351422),1399_GCCXX_XX_RU (445455484),بلوت رويال (445458376),,,1600686037
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692847,SC RE,VIP_Baloot_I_M_RE,,,,,
d974660ab07adba52dd86db496bbf957,B1AFACE4-187E-412A-992F-8D6F8C41C9BB,,77A74419-5BCD-4FAF-BDF0-6875546FD4D9,,Organic,1,1600692820,Organic,,,,,,1600605685
38bfcc2b92f36c7f2031c976d1ade5b5,0494B311-A900-43A8-AA27-754B60E63CF1,,D29670B0-0414-4AD8-85E2-C38BC9A639B7,,Snapchat Installs::VIP Baloot_I_M_AppInstall_GCC (77a9789d-745f-4386-bb19-d05fbc81aed8)::1399_KW_XX_XX_Broad (bfaf2570-a1ef-4cb6-b4b2-ed13a32b430b)::Ziyad (1) - iOS (0e120141-bfc2-4449-930d-9b0121dacf1e),0,1600692819,Snapchat Installs,VIP Baloot_I_M_AppInstall_GCC (77a9789d-745f-4386-bb19-d05fbc81aed8),1399_KW_XX_XX_Broad (bfaf2570-a1ef-4cb6-b4b2-ed13a32b430b),Ziyad (1) - iOS (0e120141-bfc2-4449-930d-9b0121dacf1e),,,1600688441
a7ecbd8ea8b82e5689c40abe0166c76a,26CA2E2C-1AD9-49C4-AB2F-83E6A52FAE67,,ED3B0DAE-BC39-4575-83DE-2A1782C3FD1C,,Organic,1,1600692820,Organic,,,,,,1600533221
8b7fdd74b2ab314ec4fb09d9c481e0be,84C955E5-F970-4CFF-8CFC-D9D955DCE8BE,,50A18B77-6517-4FB2-92D2-CE204F45E549,,Organic,1,1600692821,Organic,,,,,,1600596910
f0a0d78cd07384e0d728b90405362b88,079FAE9C-4DA6-467D-8E79-E4107A134A75,,5BA20110-538A-44E4-A12E-9CE18F0A6E07,,Imported Devices::Snapchat,0,1600692821,Imported Devices,Snapchat,,,,,1600675505
5f30e1b9a52f1d58496d9cd11af9464f,FBE62FAF-FA14-435A-93E7-347B8D90F749,,E2B0351A-CE21-4E83-B8BA-D4ACB970B6DA,,Off-Facebook Installs::Expired Attributions,0,1600692821,Off-Facebook Installs,Expired Attributions,,,,,1600655361
e1bec8945af4c4a464b2918b474361a1,D54B9EA8-25A1-4042-AF47-8AEE0DC9F255,,889FECCC-9FAA-4F93-A2DB-7D63F40DAEF7,,Apple Search Ads::Baloot - US #3 (283011826)::Exact Match (288775000)::بلوت vip (288795611),0,1600692820,Apple Search Ads,Baloot - US #3 (283011826),Exact Match (288775000),بلوت vip (288795611),,,1600238019
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692852,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692852,SC RE,VIP_Baloot_I_M_RE,,,,,
10eb960551a7f8325a181a35f5351a69,,,,0b661fbb-7abc-4fbf-885c-b7cb3034f38d,Organic,1,1600692822,Organic,,,,,,1600690894
b3d253efb0a3a2af99db51b4d4c71ec2,97D80AB0-5255-4784-A9FB-B9B1F887A07A,,00F9DE3E-74AA-4D79-99FA-FA121C3AFFC4,,Organic,1,1600692823,Organic,,,,,,1600685853
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692853,SC RE,VIP_Baloot_I_M_RE,,,,,
342a7dbbf90d7602210808cd68b9d57c,E0003752-81C9-45C8-B4B4-304E156DBD69,,E8B36C1E-5090-4A4F-93D9-BF48973ADBEA,,Imported Devices,0,1600692824,Imported Devices,,,,,,1600685231
81e34fc40824aa141fb0365ca5b268a2,12BD43AC-449E-422A-A152-A602B1DF1A1E,,5E4BE513-D11D-40C7-83D4-D5B7A54EF559,,Organic,1,1600692824,Organic,,,,,,1600674484
5dc5daa38e3f248afd36db8c6f5512d3,49BDD019-134D-4539-9DC6-D4C63A375E3C,,72C72D1C-3F34-4584-AF68-B372BD086C59,,Organic,1,1600692825,Organic,,,,,,1600640151
bbc0f2311cd0ab0e57852e3b2ce284e8,D0D9B6AA-1CF7-4C04-8484-976465FBE61B,,4499D51E-E481-40D6-8086-E6A7D019227C,,Organic,1,1600692824,Organic,,,,,,1600688030
5dc5daa38e3f248afd36db8c6f5512d3,49BDD019-134D-4539-9DC6-D4C63A375E3C,,72C72D1C-3F34-4584-AF68-B372BD086C59,,Organic,1,1600640151,Organic,,,,,,1600634545
2063321cd968d0884475acb2f4be8375,,,,8a9c39dc-3d1c-49c0-98f7-78ac34c7aba8,Organic,1,1600692825,Organic,,,,,,1600654706
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692856,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692855,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692855,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692857,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
0ad2bddbf1472c9f1bdd4946e97564fa,,,31D96F9C-B342-48B8-9220-57283781F27A,,Organic,1,1600692828,Organic,,,,,,1600557422
8b9371bd51352923bce928d8e96ec912,,,,852db183-da8c-41c6-bc6e-208d98e02c1d,Organic,1,1600692827,Organic,,,,,,1600633852
7a0f97f7950ff3a46a1a907ef6fcf9bc,7D1BCA63-2CB1-4288-AB87-26DFF7EDA72A,,F9B7D5CC-A46E-44AC-889D-D6423F3C3ED4,,Apple Search Ads::Baloot - SA (264531852)::Exact Match (264531755)::بلوت vip (264608477),0,1600692827,Apple Search Ads,Baloot - SA (264531852),Exact Match (264531755),بلوت vip (264608477),,,1600670375
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692858,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692857,SC RE,VIP_Baloot_I_M_RE,,,,,
5359393d578fc426ffdaf6e6d6e4a931,,,39DD3046-CF72-4223-871E-C0BA4D3C0D93,,Organic,1,1600692827,Organic,,,,,,1600644668
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692859,SC RE,VIP_Baloot_I_M_RE,,,,,
97a167c78d252fb16351ebdd00344f6a,,,FB0DA6C4-75E5-4084-950F-8CA156661ED8,,Organic,1,1600692829,Organic,,,,,,1600639727
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692858,SC RE,VIP_Baloot_I_M_RE,,,,,
