{adid},{idfa},{android_id},{idfv},{gps_adid},{tracker_name},{is_organic},{created_at},{network_name},{campaign_name},{adgroup_name},{creative_name},{revenue_usd},{uninstalled_at},{last_session_time}
1e3f482146cee663e4bab988eb8a4a0b,0A3B61DA-5B72-4B04-A984-54A4D24625CC,,614B3279-6DFD-4643-86FA-EBC7BDE378D8,,Organic,1,1600692803,Organic,,,,,,1600687004
67ad050b412dd2fbccdf31f123a7b587,119C6E95-64BF-4554-B9A2-29F44176177E,,7620874C-66BD-4281-AC1D-3CF1C17AB82D,,Organic,1,1600692803,Organic,,,,,,1600687278
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692833,SC RE,VIP_Baloot_I_M_RE,,,,,
41496ca0ae771fecd99ccab6c53812b2,5B54A281-DC12-41E4-9257-2AE653A8A5D6,,0DEDF18D-369D-49FF-9E9B-63CC5193AF51,,Imported Devices::Snapchat,0,1600692804,Imported Devices,Snapchat,,,,,1600652200
f80d3cd010d64154c4763cdcce1954b7,675DD5D3-C8A7-4037-8160-AAF93B6726E3,,B3314C0A-D7AE-4E02-835D-06717F669DEA,,Snapchat Installs::VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798)::Ziyad - iOS (5cdc9eb4-e302-4058-97da-77fff096e49b)::Ziyad (6) - iOS (f14c7585-ea8c-4ccb-97b8-b0586cfe0298),0,1600692804,Snapchat Installs,VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798),Ziyad - iOS (5cdc9eb4-e302-4058-97da-77fff096e49b),Ziyad (6) - iOS (f14c7585-ea8c-4ccb-97b8-b0586cfe0298),,,1600583719
685f5ad5ae23de7d6c7ef07ae8441bad,,,,48e029d0-cbfb-4cc4-be2c-c3aa79700f14,Organic,1,1600692803,Organic,,,,,,1600664297
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692834,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692833,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692835,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692835,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692834,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692834,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692835,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692835,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692835,SC RE,VIP_Baloot_I_M_RE,,,,,
443d637b3d51936ea2e28da6b3e85c46,,,,b7b06492-88e0-4ef9-97ed-be37e0adf701,Organic,1,1600692805,Organic,,,,,,1600656373
3a173d828dd8ed8f64cc0a3f914a5371,,,,6af0b147-1562-417b-a71a-d8fb53e91e23,Organic,1,1600692805,Organic,,,,,,1600631726
974eb58ca14f8f521d4b1f295ee9c89f,,,,5e2a877c-e1e3-4a62-b4e5-46e7f6bbef43,Off-Facebook Installs::Expired Attributions,0,1600692806,Off-Facebook Installs,Expired Attributions,,,,,1600640536
a8a5d845100c67ec13209f7f39d0b343,62A66A58-7402-4E9D-BFD9-99857732C97E,,D76ECD1B-E919-4F70-907D-E3063D16421D,,Organic,1,1600692807,Organic,,,,,,1600686479
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692837,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692838,SC RE,VIP_Baloot_I_M_RE,,,,,
9b0fd4b7340c7cce9fa7cb83f198399f,1B341E70-C403-492E-8D0E-C91414CFAA34,,A43DE18D-6DA4-42CA-BA7B-2DF0C0A4C72E,,Organic,1,1600692809,Organic,,,,,,1600641033
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692838,SC RE,VIP_Baloot_I_M_RE,,,,,
41cc0b35bba7735cd60efff94f21e290,,,,822b84c5-2da5-47bb-82ca-ae04f68099c6,Snapchat Installs::VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798)::Influencers - Android (e301f003-612d-4a7f-8ff1-aaefa7599fdd)::Qretim - Android (d0f77588-d0df-4ca9-8d56-80b74527d890),0,1600692810,Snapchat Installs,VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798),Influencers - Android (e301f003-612d-4a7f-8ff1-aaefa7599fdd),Qretim - Android (d0f77588-d0df-4ca9-8d56-80b74527d890),,,1600644989
